"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","16-Dec-2015","        686.60","        689.90","        697.00","        684.00","        697.00","        694.50","        692.68","    1193181","       8264.94","      22403","     776084","         65.04"
"KOTAKBANK","EQ","17-Dec-2015","        694.50","        696.90","        705.00","        688.40","        700.55","        703.20","        698.88","    1441821","      10076.55","      19911","     815964","         56.59"
"KOTAKBANK","EQ","18-Dec-2015","        703.20","        698.65","        706.00","        693.05","        705.50","        702.45","        698.93","    1124253","       7857.78","      17215","     802041","         71.34"
"KOTAKBANK","EQ","21-Dec-2015","        702.45","        702.00","        708.00","        699.00","        703.00","        705.90","        704.22","     834005","       5873.22","      23415","     398034","         47.73"
"KOTAKBANK","EQ","22-Dec-2015","        705.90","        705.80","        705.90","        694.30","        699.00","        698.20","        699.69","     744406","       5208.53","      26798","     385355","         51.77"
"KOTAKBANK","EQ","23-Dec-2015","        698.20","        701.70","        705.00","        696.40","        704.35","        702.55","        702.60","     439560","       3088.34","      11220","     229967","         52.32"
"KOTAKBANK","EQ","24-Dec-2015","        702.55","        701.00","        704.40","        697.00","        703.50","        701.35","        699.98","     484103","       3388.61","      22700","     183347","         37.87"
"KOTAKBANK","EQ","28-Dec-2015","        701.35","        699.05","        713.45","        698.40","        707.25","        708.00","        708.22","    1050620","       7440.73","      14657","     693265","         65.99"
"KOTAKBANK","EQ","29-Dec-2015","        708.00","        708.00","        714.50","        705.00","        706.15","        706.20","        708.81","    1091896","       7739.52","      16287","     538829","         49.35"
"KOTAKBANK","EQ","30-Dec-2015","        706.20","        708.00","        710.50","        704.50","        708.10","        709.15","        707.09","     467293","       3304.19","      14145","     279735","         59.86"
"KOTAKBANK","EQ","31-Dec-2015","        709.15","        706.15","        723.85","        706.15","        715.80","        720.05","        714.88","    1164210","       8322.67","      19248","     550923","         47.32"
"KOTAKBANK","EQ","01-Jan-2016","        720.05","        720.00","        729.85","        711.25","        728.00","        727.25","        721.82","     622438","       4492.86","       9458","     358207","         57.55"
"KOTAKBANK","EQ","04-Jan-2016","        727.25","        727.00","        727.00","        703.85","        704.70","        705.30","        710.25","    1222447","       8682.46","      23149","     755455","         61.80"
"KOTAKBANK","EQ","05-Jan-2016","        705.30","        708.10","        712.80","        705.00","        705.35","        707.75","        709.41","     689842","       4893.78","      12975","     386323","         56.00"
"KOTAKBANK","EQ","06-Jan-2016","        707.75","        704.00","        711.00","        697.00","        703.90","        703.60","        704.94","     601664","       4241.39","      14026","     207975","         34.57"
"KOTAKBANK","EQ","07-Jan-2016","        703.60","        697.50","        703.00","        689.15","        693.95","        691.65","        695.64","     632696","       4401.30","      15240","     244129","         38.59"
"KOTAKBANK","EQ","08-Jan-2016","        691.65","        694.20","        704.00","        693.55","        695.00","        695.10","        698.63","     446029","       3116.11","       9487","     192884","         43.24"
"KOTAKBANK","EQ","11-Jan-2016","        695.10","        690.00","        704.75","        681.00","        701.50","        700.85","        694.14","     577659","       4009.78","      17480","     213417","         36.95"
"KOTAKBANK","EQ","12-Jan-2016","        700.85","        699.90","        700.70","        684.55","        693.30","        692.00","        690.17","     834020","       5756.19","      23947","     420395","         50.41"
"KOTAKBANK","EQ","13-Jan-2016","        692.00","        698.05","        700.65","        682.25","        689.65","        689.15","        691.13","     673206","       4652.73","      14884","     232180","         34.49"
"KOTAKBANK","EQ","14-Jan-2016","        689.15","        682.00","        690.95","        673.00","        679.90","        684.10","        682.28","     890445","       6075.36","      19379","     390150","         43.82"
"KOTAKBANK","EQ","15-Jan-2016","        684.10","        679.40","        689.10","        671.00","        671.90","        675.60","        681.15","    1088741","       7415.95","      22206","     700598","         64.35"
"KOTAKBANK","EQ","18-Jan-2016","        675.60","        676.00","        686.80","        663.10","        667.10","        667.40","        675.67","    2206808","      14910.70","      36684","     616396","         27.93"
"KOTAKBANK","EQ","19-Jan-2016","        667.40","        670.05","        676.00","        663.55","        668.00","        668.70","        669.53","    1105205","       7399.72","      25074","     520542","         47.10"
"KOTAKBANK","EQ","20-Jan-2016","        668.70","        660.00","        700.00","        652.60","        662.00","        662.65","        659.66","     710377","       4686.04","      19101","     320252","         45.08"
"KOTAKBANK","EQ","21-Jan-2016","        662.65","        671.50","        677.15","        651.00","        660.15","        660.85","        661.42","     850780","       5627.19","      20813","     341636","         40.16"
"KOTAKBANK","EQ","22-Jan-2016","        660.85","        671.00","        689.00","        664.20","        680.30","        683.05","        681.96","    1001784","       6831.78","      23795","     542476","         54.15"
"KOTAKBANK","EQ","25-Jan-2016","        683.05","        685.00","        685.00","        674.50","        680.00","        681.00","        680.11","     706865","       4807.48","      19280","     197221","         27.90"
"KOTAKBANK","EQ","27-Jan-2016","        681.00","        680.00","        682.40","        666.35","        674.00","        674.60","        674.13","     655762","       4420.67","      22088","     250670","         38.23"
"KOTAKBANK","EQ","28-Jan-2016","        674.60","        675.00","        680.00","        660.25","        664.50","        663.25","        667.94","    1468731","       9810.30","      17704","     867942","         59.09"
"KOTAKBANK","EQ","29-Jan-2016","        663.25","        664.50","        686.00","        664.50","        683.15","        683.60","        673.11","    1645577","      11076.60","      14116","    1211615","         73.63"
"KOTAKBANK","EQ","01-Feb-2016","        683.60","        683.15","        691.00","        679.50","        687.90","        687.70","        687.64","     592570","       4074.74","       9373","     237803","         40.13"
"KOTAKBANK","EQ","02-Feb-2016","        687.70","        687.00","        691.00","        671.50","        674.45","        677.15","        684.76","     601307","       4117.53","      12282","     200062","         33.27"
"KOTAKBANK","EQ","03-Feb-2016","        677.15","        672.00","        672.00","        661.70","        664.00","        665.55","        666.51","    1207032","       8045.02","      21029","     782326","         64.81"
"KOTAKBANK","EQ","04-Feb-2016","        665.55","        670.40","        680.80","        668.65","        677.10","        676.25","        676.16","     482546","       3262.79","      12154","     143393","         29.72"
"KOTAKBANK","EQ","05-Feb-2016","        676.25","        677.00","        697.30","        675.45","        693.00","        692.00","        690.12","    1868377","      12894.11","      22535","    1342143","         71.83"
"KOTAKBANK","EQ","08-Feb-2016","        692.00","        694.75","        694.75","        670.30","        671.00","        673.10","        684.10","     573936","       3926.30","      11449","     218459","         38.06"
"KOTAKBANK","EQ","09-Feb-2016","        673.10","        667.95","        680.00","        662.35","        678.10","        677.05","        670.17","     897961","       6017.84","      28058","     286908","         31.95"
"KOTAKBANK","EQ","10-Feb-2016","        677.05","        677.00","        679.95","        661.15","        667.10","        667.35","        667.33","     996355","       6649.01","      27966","     455551","         45.72"
"KOTAKBANK","EQ","11-Feb-2016","        667.35","        667.00","        667.00","        625.00","        630.00","        628.95","        643.08","    1585567","      10196.53","      44903","     792705","         50.00"
"KOTAKBANK","EQ","12-Feb-2016","        628.95","        630.00","        637.00","        613.70","        620.45","        622.00","        626.06","    1300513","       8142.03","      35114","     482492","         37.10"
"KOTAKBANK","EQ","15-Feb-2016","        622.00","        627.00","        636.40","        622.05","        622.05","        625.25","        629.51","    1276295","       8034.42","      42429","     733125","         57.44"
"KOTAKBANK","EQ","16-Feb-2016","        625.25","        629.90","        630.00","        615.00","        620.00","        620.25","        621.18","     740669","       4600.89","      20958","     286144","         38.63"
"KOTAKBANK","EQ","17-Feb-2016","        620.25","        619.00","        629.90","        610.00","        626.60","        625.30","        617.44","     955916","       5902.18","      36633","     346920","         36.29"
"KOTAKBANK","EQ","18-Feb-2016","        625.30","        630.00","        637.75","        624.15","        636.95","        635.55","        631.51","     849665","       5365.73","      13514","     315566","         37.14"
"KOTAKBANK","EQ","19-Feb-2016","        635.55","        632.55","        639.90","        625.30","        631.90","        631.20","        631.50","     586848","       3705.94","      11412","     131223","         22.36"
"KOTAKBANK","EQ","22-Feb-2016","        631.20","        634.00","        642.20","        632.15","        639.50","        640.20","        638.21","     444582","       2837.39","       8718","     141013","         31.72"
"KOTAKBANK","EQ","23-Feb-2016","        640.20","        639.00","        639.00","        620.00","        621.05","        623.00","        625.49","     635282","       3973.65","      17662","     239796","         37.75"
"KOTAKBANK","EQ","24-Feb-2016","        623.00","        620.35","        629.95","        616.50","        617.95","        618.75","        620.67","     669471","       4155.18","      10655","     268180","         40.06"
"KOTAKBANK","EQ","25-Feb-2016","        618.75","        621.00","        621.50","        604.50","        609.00","        606.85","        610.75","    1023867","       6253.25","      15851","     505793","         49.40"
"KOTAKBANK","EQ","26-Feb-2016","        606.85","        614.00","        621.40","        606.60","        615.90","        615.75","        616.17","     586436","       3613.47","      10908","     220003","         37.52"
"KOTAKBANK","EQ","29-Feb-2016","        615.75","        615.00","        640.35","        585.75","        632.10","        630.40","        623.43","    2099387","      13088.23","      31219","     995297","         47.41"
"KOTAKBANK","EQ","01-Mar-2016","        630.40","        620.00","        641.20","        620.00","        640.40","        638.45","        635.61","    1980463","      12587.93","      33999","     814800","         41.14"
"KOTAKBANK","EQ","02-Mar-2016","        638.45","        647.25","        659.95","        641.70","        656.80","        656.30","        653.08","    1243691","       8122.35","      27870","     471248","         37.89"
"KOTAKBANK","EQ","03-Mar-2016","        656.30","        658.00","        661.50","        649.95","        657.00","        657.65","        655.69","     922424","       6048.22","      16855","     386465","         41.90"
